code,cityName,lon,lat,hgt,area,pop,forest,shrubland,grassland,cropland,builtup,bares,snow,water,wetland,mangroves,moss
110000,北京市,116.41000,39.90000,44.82000,1.73000,21885943,0.47677,0.00152,0.13391,0.18092,0.15392,0.03695,0.00000,0.01559,0.00042,0.00000,0.00000
120000,天津市,117.19000,39.13000,5.26000,1.25000,13858764,0.05175,0.00266,0.01572,0.49468,0.20605,0.08145,0.00000,0.12786,0.01982,0.00000,0.00000
130100,石家庄市,114.50000,38.05000,68.42000,1.44000,10957773,0.15025,0.00020,0.15632,0.48770,0.14317,0.05346,0.00000,0.00844,0.00046,0.00000,0.00000
130200,唐山市,118.18000,39.64000,21.94000,1.45000,7709460,0.09636,0.00239,0.06217,0.51341,0.16325,0.07819,0.00000,0.07856,0.00566,0.00000,0.00000
130300,秦皇岛市,119.59000,39.94000,40.31000,0.82000,3130570,0.28688,0.00105,0.20402,0.33389,0.08765,0.05903,0.00000,0.02636,0.00111,0.00000,0.00000
130400,邯郸市,114.49000,36.61000,69.79000,1.21000,9406973,0.05886,0.00024,0.13133,0.60679,0.14939,0.04854,0.00000,0.00459,0.00026,0.00000,0.00000
130500,邢台市,114.51000,37.07000,72.30000,1.26000,7104096,0.06547,0.00054,0.09829,0.64491,0.13265,0.05386,0.00000,0.00420,0.00009,0.00000,0.00000
130600,保定市,115.48000,38.87000,18.64000,2.31000,11534035,0.17211,0.00051,0.24374,0.41531,0.11741,0.04184,0.00000,0.00553,0.00355,0.00000,0.00000
130700,张家口市,114.88000,40.81000,894.46000,3.93000,4107683,0.12742,0.00013,0.48216,0.31186,0.02811,0.04331,0.00000,0.00474,0.00226,0.00000,0.00000
130800,承德市,117.94000,40.98000,501.96000,4.25000,3346303,0.51692,0.00001,0.29408,0.14805,0.01534,0.02385,0.00000,0.00169,0.00005,0.00000,0.00000
130900,沧州市,116.86000,38.31000,9.07000,1.46000,7291605,0.01624,0.00089,0.00334,0.73117,0.13711,0.05277,0.00000,0.05255,0.00593,0.00000,0.00000
131000,廊坊市,116.70000,39.52000,16.44000,0.67000,5459432,0.06035,0.00146,0.00728,0.66380,0.20978,0.05034,0.00000,0.00588,0.00111,0.00000,0.00000
131100,衡水市,115.67000,37.74000,22.70000,0.90000,4209054,0.02227,0.00167,0.00266,0.81167,0.12553,0.02964,0.00000,0.00599,0.00057,0.00000,0.00000
140100,太原市,112.55000,37.86000,850.69000,0.71000,5302192,0.21058,0.00001,0.45378,0.16730,0.07099,0.09135,0.00000,0.00599,0.00001,0.00000,0.00000
140200,大同市,113.30000,40.09000,1100.25000,1.48000,3101107,0.07097,0.00037,0.48644,0.29843,0.04041,0.10040,0.00000,0.00291,0.00006,0.00000,0.00000
140300,阳泉市,113.58000,37.86000,788.92000,0.47000,1317128,0.21189,0.00001,0.52711,0.15007,0.03224,0.07806,0.00000,0.00062,0.00000,0.00000,0.00000
140400,长治市,113.11000,36.19000,963.19000,1.40000,3176392,0.26730,0.00006,0.33568,0.30743,0.02898,0.05668,0.00000,0.00384,0.00004,0.00000,0.00000
140500,晋城市,112.85000,35.50000,783.56000,0.94000,2191155,0.40851,0.00009,0.27726,0.21630,0.03301,0.06252,0.00000,0.00231,0.00000,0.00000,0.00000
140600,朔州市,112.43000,39.33000,1114.62000,1.12000,1590042,0.03627,0.00058,0.40283,0.42348,0.03112,0.10273,0.00000,0.00260,0.00039,0.00000,0.00000
140700,晋中市,112.74000,37.70000,821.88000,1.66000,3375182,0.22771,0.00001,0.41436,0.24150,0.03363,0.08130,0.00000,0.00149,0.00000,0.00000,0.00000
140800,运城市,111.00000,35.02000,425.09000,1.41000,4768004,0.18606,0.00005,0.15675,0.47972,0.06250,0.09959,0.00000,0.01462,0.00071,0.00000,0.00000
140900,忻州市,112.73000,38.42000,823.57000,2.61000,2684022,0.13402,0.00001,0.56047,0.23270,0.01705,0.05479,0.00000,0.00094,0.00000,0.00000,0.00000
141000,临汾市,111.52000,36.08000,495.65000,2.04000,3971345,0.26023,0.00000,0.39381,0.24386,0.03162,0.06933,0.00000,0.00115,0.00001,0.00000,0.00000
141100,吕梁市,111.13000,37.52000,1119.65000,2.16000,3393965,0.22978,0.00000,0.50913,0.15186,0.02468,0.08287,0.00000,0.00168,0.00001,0.00000,0.00000
150100,呼和浩特市,111.67000,40.82000,1072.38000,1.83000,3441482,0.02665,0.00026,0.53444,0.33791,0.04186,0.05434,0.00000,0.00369,0.00086,0.00000,0.00000
150200,包头市,109.84000,40.66000,1096.55000,2.99000,2704662,0.00318,0.00212,0.46468,0.14619,0.02126,0.35761,0.00000,0.00478,0.00018,0.00000,0.00000
